offline_datapoint_0 1619213696 360128512,000
offline_datapoint_19 1619213696 8342302720,000
offline_datapoint_25 1619213696 392552448,000
offline_datapoint_11 1619213696 2806,000
offline_datapoint_5 1619213694 0,000
offline_datapoint_24 1619213694 7067,345
offline_datapoint_7 1619213696 392552448,000
offline_datapoint_17 1619213694 0,000
offline_datapoint_6 1619213696 5805027328,000
offline_datapoint_23 1619213696 7396524032,000
offline_datapoint_22 1619213694 0,000
offline_datapoint_28 1619213694 14,968
offline_datapoint_10 1619213694 5,990
offline_datapoint_29 1619213694 5131,977
offline_datapoint_4 1619213696 0,000
offline_datapoint_16 1619213694 8040,864
offline_datapoint_2 1619213694 1518,622
offline_datapoint_14 1619213694 0,314
offline_datapoint_3 1619213694 6,668
offline_datapoint_26 1619213694 89,099
offline_datapoint_15 1619213694 0,000
offline_datapoint_8 1619213694 14745,600
offline_datapoint_20 1619213694 0,003
offline_datapoint_27 1619213699 682278,000
offline_datapoint_21 1619213699 3267,000
offline_datapoint_12 1619213699 585355264,000
offline_datapoint_0 1619213699 360136704,000
offline_datapoint_19 1619213699 8342835200,000
offline_datapoint_25 1619213699 393121792,000
offline_datapoint_11 1619213699 2797,000
offline_datapoint_5 1619213697 3,000
offline_datapoint_24 1619213697 4420,022
offline_datapoint_7 1619213699 393121792,000
offline_datapoint_17 1619213697 0,667
offline_datapoint_6 1619213699 5805916160,000
offline_datapoint_23 1619213699 7399325696,000
offline_datapoint_22 1619213697 0,000
offline_datapoint_28 1619213697 13,281
offline_datapoint_10 1619213697 7,031
offline_datapoint_29 1619213697 5023,358
offline_datapoint_4 1619213699 0,000
offline_datapoint_16 1619213697 8044,374
offline_datapoint_2 1619213697 1171,339
offline_datapoint_14 1619213697 0,050
offline_datapoint_3 1619213697 1,333
offline_datapoint_26 1619213697 98,626
offline_datapoint_15 1619213697 0,000
offline_datapoint_8 1619213697 5120,000
offline_datapoint_20 1619213697 0,000
offline_datapoint_27 1619213702 682278,000
offline_datapoint_21 1619213702 3305,000
offline_datapoint_12 1619213702 585355264,000
offline_datapoint_0 1619213702 360247296,000
offline_datapoint_19 1619213702 8347246592,000
offline_datapoint_25 1619213702 394113024,000
offline_datapoint_11 1619213702 2803,000
